"x","y","era_grupo","region"
1.94895513086011,-0.109688953344729,"Pre-1990","noa"
1.95647387965614,-0.0738192699992993,"Pre-1990","noa"
1.96142991014069,-0.038025195143225,"Pre-1990","noa"
1.96381828203477,-0.00234240908875952,"Pre-1990","noa"
1.96363661455734,0.0331935187869417,"Pre-1990","noa"
1.96088508879851,0.0685471654981482,"Pre-1990","noa"
1.95556644753897,0.10368328976096,"Pre-1990","noa"
1.94768599251602,0.138566867122583,"Pre-1990","noa"
1.93725157913859,0.173163124874469,"Pre-1990","noa"
1.92427360865686,0.207437576714502,"Pre-1990","noa"
1.90876501779406,0.241356057123699,"Pre-1990","noa"
1.89074126585083,0.274884755423141,"Pre-1990","noa"
1.87022031929507,0.307990249477192,"Pre-1990","noa"
1.84722263385261,0.340639539009414,"Pre-1990","noa"
1.82177113411643,0.372800078497954,"Pre-1990","noa"
1.79389119069498,0.404439809617636,"Pre-1990","noa"
1.76361059492219,0.435527193196387,"Pre-1990","noa"
1.73095953115446,0.46603124065418,"Pre-1990","noa"
1.69597054668223,0.495921544893116,"Pre-1990","noa"
1.65867851928615,0.525168310607888,"Pre-1990","noa"
1.61912062247015,0.553742383986382,"Pre-1990","noa"
1.57733628840606,0.581615281770834,"Pre-1990","noa"
1.53336716862679,0.608759219650565,"Pre-1990","noa"
1.48725709250717,0.635147139957976,"Pre-1990","noa"
1.43905202357384,0.660752738640233,"Pre-1990","noa"
1.38880001368788,0.685550491479705,"Pre-1990","noa"
1.3365511551456,0.709515679537071,"Pre-1990","noa"
1.28235753074548,0.732624413791687,"Pre-1990","noa"
1.22627316187092,0.754853658954688,"Pre-1990","noa"
1.1683539546405,0.776181256431062,"Pre-1990","noa"
1.10865764417961,0.796585946407819,"Pre-1990","noa"
1.04724373706876,0.816047389046236,"Pre-1990","noa"
0.984173452026178,0.834546184757049,"Pre-1990","noa"
0.919509658883614,0.852063893538391,"Pre-1990","noa"
0.853316815916363,0.868583053357178,"Pre-1990","noa"
0.785660905589835,0.884087197555649,"Pre-1990","noa"
0.716609368786797,0.89856087126569,"Pre-1990","noa"
0.646231037580848,0.911989646814577,"Pre-1990","noa"
0.574596066623092,0.924360138106799,"Pre-1990","noa"
0.501775863210476,0.935660013967607,"Pre-1990","noa"
0.42784301610543,0.945878010434997,"Pre-1990","noa"
0.352871223177812,0.955003941987873,"Pre-1990","noa"
0.276935217941276,0.963028711699194,"Pre-1990","noa"
0.200110695057268,0.969944320303995,"Pre-1990","noa"
0.122474234880953,0.975743874173218,"Pre-1990","noa"
0.0441032271242485,0.98042159218544,"Pre-1990","noa"
-0.034924206287933,0.983972811489617,"Pre-1990","noa"
-0.114529289091301,0.986393992153116,"Pre-1990","noa"
-0.194632669208097,0.987682720690397,"Pre-1990","noa"
-0.275154497846958,0.987837712468826,"Pre-1990","noa"
-0.356014509097934,0.98685881298923,"Pre-1990","noa"
-0.437132099943299,0.984746998039897,"Pre-1990","noa"
-0.518426410604378,0.981504372723895,"Pre-1990","noa"
-0.599816405144346,0.977134169360661,"Pre-1990","noa"
-0.681220952246601,0.971640744263947,"Pre-1990","noa"
-0.762558906088238,0.965029573399359,"Pre-1990","noa"
-0.843749187227955,0.957307246925792,"Pre-1990","noa"
-0.924710863427813,0.948481462626219,"Pre-1990","noa"
-1.00536323032825,0.938561018234367,"Pre-1990","noa"
-1.08562589189595,0.927555802664955,"Pre-1990","noa"
-1.16541884056432,0.915476786156199,"Pre-1990","noa"
-1.24466253698683,0.902336009334445,"Pre-1990","noa"
-1.32327798932352,0.88814657121181,"Pre-1990","noa"
-1.40118683198179,0.872922616128801,"Pre-1990","noa"
-1.47831140373296,0.856679319654932,"Pre-1990","noa"
-1.55457482512662,0.83943287346138,"Pre-1990","noa"
-1.62990107512578,0.821200469180781,"Pre-1990","noa"
-1.70421506688626,0.802000281270234,"Pre-1990","noa"
-1.77744272260494,0.781851448894607,"Pre-1990","noa"
-1.84951104736204,0.760774056848202,"Pre-1990","noa"
-1.92034820188415,0.738789115533794,"Pre-1990","noa"
-1.98988357415509,0.715918540019007,"Pre-1990","noa"
-2.05804784980355,0.692185128190896,"Pre-1990","noa"
-2.12477308119716,0.667612538030515,"Pre-1990","noa"
-2.18999275517413,0.642225264030135,"Pre-1990","noa"
-2.25364185934509,0.61604861277659,"Pre-1990","noa"
-2.31565694689876,0.589108677725132,"Pre-1990","noa"
-2.3759761998472,0.561432313188902,"Pre-1990","noa"
-2.43453949064726,0.533047107569962,"Pre-1990","noa"
-2.49128844213706,0.503981355858588,"Pre-1990","noa"
-2.5461664857276,0.474264031428196,"Pre-1990","noa"
-2.59911891779155,0.443924757154062,"Pre-1990","noa"
-2.65009295419306,0.412993775884588,"Pre-1990","noa"
-2.69903778290406,0.38150192029458,"Pre-1990","noa"
-2.74590461465485,0.349480582150566,"Pre-1990","noa"
-2.79064673156832,0.316961681018795,"Pre-1990","noa"
-2.83321953372928,0.283977632447127,"Pre-1990","noa"
-2.87358058364268,0.250561315652502,"Pre-1990","noa"
-2.91168964853621,0.216746040746226,"Pre-1990","noa"
-2.9475087404652,0.182565515529733,"Pre-1990","noa"
-2.98100215417984,0.1480538118939,"Pre-1990","noa"
-3.01213650271692,0.113245331855464,"Pre-1990","noa"
-3.04088075068073,0.0781747732643266,"Pre-1990","noa"
-3.06720624517979,0.0428770952159951,"Pre-1990","noa"
